ncessch,state,lat,lon,cbsa,school_year,cbsatype,cnty,nmcnty,fipst,statename,sch_name,lea_name,st_leaid,leaid,st_schid,sy_status_text,sch_type_text,recon_status,charter_text,g_pk_offered,tot_enrollment,teacher_fte,prop_frl,re_amind,re_asian,re_black,re_hisp,re_missing,re_multi,re_nathi,re_white,prop_gen_female,prop_gen_miss
410192001239,OR,45.48459,-122.868911,38900,2015-2016,1,41067,Washington County,41,OREGON,Aloha High School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001186,Open,Regular School,No,No,No,2012,99.77,0.5223658051689861,0.006958250497017893,0.06063618290258449,0.051192842942345926,0.3518886679920477,0,0.059145129224652086,0.019383697813121274,0.4507952286282306,0.4691848906560636,NA
410192001239,OR,45.484590000000004,-122.86891100000001,38900,2016-2017,1,41067,Washington County,41,OREGON,Aloha High School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001186,Open,Regular School,No,No,No,9955,101.59,0.12124560522350578,0.002410848819688599,0.023505775991963837,0.019889502762430938,0.14987443495730787,0.6,0.022501255650426922,0.0056253139126067305,0.1761928679055751,0.19045705675539928,0.6
410192001239,OR,45.484590000000004,-122.86891100000001,38900,2017-2018,1,41067,Washington County,41,OREGON,Aloha High School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001186,Open,Regular School,No,No,No,9320,98.66,0.12446351931330472,0.001072961373390558,0.023819742489270386,0.02188841201716738,0.15836909871244637,0.6,0.022103004291845495,0.004935622317596567,0.16781115879828326,0.1890557939914163,0.6
410192001239,OR,45.484598,-122.868819,38900,2014-2015,1,41067,Washington County,41,OREGON,Aloha High School,Beaverton SD 48J,00000000002243,4101920,00000000000000001186,Open,Regular School,No,No,N,2058,98.80,0.565597667638484,0.0058309037900874635,0.06559766763848396,0.038386783284742466,0.3493683187560739,0,0.06754130223517979,0.012147716229348883,0.4611273080660836,0.4859086491739553,NA
410192001240,OR,45.485711,-122.810721,38900,2014-2015,1,41067,Washington County,41,OREGON,Beaverton High School,Beaverton SD 48J,00000000002243,4101920,00000000000000001187,Open,Regular School,No,No,N,1717,81.73,0.43156668608037274,0.0034944670937682005,0.05358182877111241,0.020966802562609202,0.27781013395457194,0,0.0675596971461852,0.0122306348281887,0.5643564356435643,0.47815958066394876,NA
410192001240,OR,45.485711,-122.810721,38900,2015-2016,1,41067,Washington County,41,OREGON,Beaverton High School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001187,Open,Regular School,No,No,No,1760,88.12,0.3693181818181818,0.0017045454545454545,0.05397727272727273,0.025,0.2863636363636364,0,0.06761363636363636,0.013636363636363636,0.5517045454545455,0.4625,NA
410192001240,OR,45.485711,-122.810721,38900,2016-2017,1,41067,Washington County,41,OREGON,Beaverton High School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001187,Open,Regular School,No,No,No,9160,93.71,0.08919213973799127,0.0017467248908296944,0.02205240174672489,0.011790393013100437,0.12117903930131005,0.6,0.025109170305676855,0.006331877729257642,0.21179039301310043,0.1873362445414847,0.6
410192001240,OR,45.485711,-122.810721,38900,2017-2018,1,41067,Washington County,41,OREGON,Beaverton High School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001187,Open,Regular School,No,No,No,8450,90.80,0.10035502958579881,0.001893491124260355,0.02390532544378698,0.015384615384615385,0.13846153846153847,0.6,0.023668639053254437,0.005680473372781065,0.1910059171597633,0.1898224852071006,0.6
410192001241,OR,45.527958,-122.81990300000001,38900,2016-2017,1,41067,Washington County,41,OREGON,Sunset High School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001188,Open,Regular School,No,No,No,11500,103.05,0.050434782608695654,0.0017391304347826088,0.06730434782608696,0.008521739130434783,0.07356521739130435,0.6,0.026434782608695653,0.0036521739130434784,0.21878260869565216,0.18521739130434783,0.6
410192001241,OR,45.527958,-122.81990300000001,38900,2017-2018,1,41067,Washington County,41,OREGON,Sunset High School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001188,Open,Regular School,No,No,No,10705,98.40,0.04100887435777674,0.0013078000934142924,0.07902849135917796,0.008033629145259225,0.05903783278841663,0.6,0.025221858944418495,0.0018682858477347033,0.2255021018215787,0.18047641289117236,0.6
410192001241,OR,45.527958,-122.819903,38900,2014-2015,1,41067,Washington County,41,OREGON,Sunset High School,Beaverton SD 48J,00000000002243,4101920,00000000000000001188,Open,Regular School,No,No,N,2072,91.30,0.24179536679536678,0.006756756756756757,0.15106177606177607,0.017374517374517374,0.18001930501930502,0,0.06274131274131274,0.004826254826254826,0.5772200772200772,0.46766409266409265,NA
410192001241,OR,45.527958,-122.819903,38900,2015-2016,1,41067,Washington County,41,OREGON,Sunset High School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001188,Open,Regular School,No,No,No,2193,94.99,0.21295029639762883,0.004559963520291838,0.1545827633378933,0.019151846785225718,0.18194254445964433,0,0.0674874601003192,0.00729594163246694,0.5649794801641587,0.4683082535339717,NA
410192001262,OR,45.549716,-122.811514,38900,2014-2015,1,41067,Washington County,41,OREGON,Findley Elementary,Beaverton SD 48J,00000000002243,4101920,00000000000000001370,Open,Regular School,No,No,N,818,37.43,0.0550122249388753,0.0024449877750611247,0.5427872860635696,0.004889975550122249,0.040342298288508556,0,0.06845965770171149,0,0.3410757946210269,0.5171149144254279,NA
410192001262,OR,45.549716,-122.811514,38900,2015-2016,1,41067,Washington County,41,OREGON,Findley Elementary,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001370,Open,Regular School,No,No,No,827,39.48,0.05562273276904474,0.0024183796856106408,0.5646916565900847,0.0036275695284159614,0.03990326481257558,0,0.06529625151148731,0,0.32406287787182586,0.4957678355501814,NA
