county,business_name,type_of_care,licensure,quality_rating,area_code,phone,city,lattitude,longitude
clackamas,(ECC) Tanya Renee's Childcare,Family Child Care,Licensed - Certified Family,NA,971,340-9794,Milwaukie,45.459993,-122.62085599999999
clackamas,(ECC) Valley View Day School,Child Care Center,Licensed - Certified Center,NA,503,698-6003,Clackamas,45.433005,-122.54440600000001
clackamas,La Escuelita Happy Valley,Family Child Care,Licensed - Certified Family,NA,503,481-4866,Happy Valley,45.42786399999999,-122.526593
clackamas,(ECC) Toni's Tiny Tots Childcare,Family Child Care,Unlicensed - Exempt,NA,503,407-4241,Damascus,45.397833,-122.44852400000002
clackamas,(ECC) Bright Minds Christian Dayschool,Child Care Center,Licensed - Certified Center,NA,503,631-4081,Oregon City,45.369944,-122.517171
clackamas,(ECC),Family Child Care,Licensed - Registered Family,NA,503,793-8773,Milwaukie,NA,NA
clackamas,(ECC) Country Kids Preschool and Childcare LLC,Child Care Center,Licensed - Certified Center,NA,503,638-5437,Damascus,45.417316,-122.456044
clackamas,Lily Pond Preschool,Child Care Center,Licensed - Certified Center,NA,503,657-4628,West Linn,45.343525,-122.65886999999998
clackamas,(ECC),(CCC) Emergency Care,Licensed - Registered Family,NA,503,568-6228,Clackamas,NA,NA
clackamas,(ECC) Peake Academy at PLAY Boutique,(CCC) Emergency Care,Licensed - Certified Center,NA,503,675-7529,Lake Oswego,45.420231,-122.66439199999999
clackamas,(ECC) Julie's Little Angels,Family Child Care,Licensed - Registered Family,NA,360,870-2107,Milwaukie,45.422057,-122.63049199999999
clackamas,(ECC) Victory Early Learning Center,Child Care Center,Licensed - Certified Center,NA,503,655-6728,Oregon City,45.357837999999994,-122.60521
clackamas,"Lilly's Pad Learning, LLC",Preschool Program,Unlicensed - Recorded,NA,503,320-7064,Canby,NA,NA
clackamas,Malinda's Little Munchkins,Family Child Care,Licensed - Registered Family,NA,503,887-6090,Milwaukie,45.41682399999999,-122.614988
clackamas,(ECC) Little Sprouts Certified Childcare,(CCC) Emergency Care,Licensed - Certified Family,NA,503,655-1971,Oregon City,45.322888,-122.634894
clackamas,(ECC) Silly Monkeys Childcare and Preschool LLC,(CCC) Emergency Care,Licensed - Certified Family,NA,503,593-8232,Molalla,45.159183999999996,-122.58725000000001
clackamas,(ECC) Grandma's House,(CCC) Emergency Care,Licensed - Certified Center,NA,971,219-9774,Sandy,45.403676999999995,-122.29819
clackamas,Canby Community Preschool,Preschool Program,Unlicensed - Recorded,NA,503,266-2720,Canby,45.274985,-122.69639199999999
clackamas,(ECC),Family Child Care,Licensed - Registered Family,NA,503,847-3353,Portland,NA,NA
clackamas,(ECC) Early Years Children's Center - Wilsonville,(CCC) Emergency Care,Licensed - Certified Center,NA,503,744-0454,Wilsonville,45.303765999999996,-122.752433
clackamas,(ECC) DiDi's House,Family Child Care,Licensed - Registered Family,NA,503,449-4717,Milwaukie,45.443559,-122.620905
clackamas,(ECC) Yvonne Rise,(CCC) Emergency Care,Licensed - Registered Family,NA,971,563-1912,Canby,45.275600000000004,-122.70686900000001
clackamas,St Stephen Lutheran Preschool,Preschool Program,Unlicensed - Recorded,NA,503,656-3035,Gladstone,45.381336999999995,-122.599386
clackamas,Community Arts Preschool,Preschool Program,Unlicensed - Recorded,NA,503,636-3429,Lake Oswego,45.413588999999995,-122.664646
clackamas,Milwaukie Lutheran Preschool,Preschool Program,Unlicensed - Recorded,NA,503,659-9881,Milwaukie,45.432999,-122.62247499999998
clackamas,(ECC) KinderCare Learning Center - Mountain Park,Child Care Center,Licensed - Certified Center,NA,503,636-4077,Lake Oswego,45.433696,-122.702323
clackamas,(ECC) Country Kids Day School,(CCC) Emergency Care,Licensed - Certified Family,NA,503,558-8286,Damascus,45.41683,-122.474309
clackamas,(ECC) Wondercare,(CCC) Emergency Care,Licensed - Registered Family,NA,503,788-7737,Happy Valley,45.44925,-122.55989199999999
clackamas,Annie's Kidz,Family Child Care,Licensed - Certified Family,NA,503,307-1300,Clackamas,45.423578000000006,-122.54286
clackamas,(ECC) Bizzy Bumblebee Preschool,(CCC) Emergency Care,Licensed - Certified Center,NA,503,582-8025,Wilsonville,45.306436,-122.764491
